id,category,sub_category,brand,model,power,price,compatibility,ESD,link,image
22,tools,tips,PS4,Joystick,,$8-20,1.2,OK,https://s.click.aliexpress.com/e/_c3IxbJP9,https://ae-pic-a1.aliexpress-media.com/kf/Sabb4a250a366493e9cc2eb0ffcc501bdF.jpg
23,tools,tips,Switch Pro,Joystick,,$8-20,1.2,OK,https://s.click.aliexpress.com/e/_c3IxbJP9,https://ae-pic-a1.aliexpress-media.com/kf/Sabb4a250a366493e9cc2eb0ffcc501bdF.jpg
24,tools,tips,PS5,Joystick,,$8-20,1.3,OK,https://s.click.aliexpress.com/e/_c3IxbJP9,https://ae-pic-a1.aliexpress-media.com/kf/Sabb4a250a366493e9cc2eb0ffcc501bdF.jpg
25,tools,tips,PS4,Joystick,,$8-20,1.3,OK,https://s.click.aliexpress.com/e/_c3IxbJP9,https://ae-pic-a1.aliexpress-media.com/kf/Sabb4a250a366493e9cc2eb0ffcc501bdF.jpg
26,tools,tips,Switch Pro,Joystick,,$8-20,1.3,OK,https://s.click.aliexpress.com/e/_c3IxbJP9,https://ae-pic-a1.aliexpress-media.com/kf/Sabb4a250a366493e9cc2eb0ffcc501bdF.jpg
27,tools,tips,XBOX,Joystick,,$8-20,1.1,OK,https://s.click.aliexpress.com/e/_c3IxbJP9,https://ae-pic-a1.aliexpress-media.com/kf/Sabb4a250a366493e9cc2eb0ffcc501bdF.jpg
28,tools,tips,XBOX,Joystick,,$8-20,1.2,OK,https://s.click.aliexpress.com/e/_c3IxbJP9,https://ae-pic-a1.aliexpress-media.com/kf/Sabb4a250a366493e9cc2eb0ffcc501bdF.jpg
29,tools,tips,XBOX,Joystick,,$8-20,1.3,OK,https://s.click.aliexpress.com/e/_c3IxbJP9,https://ae-pic-a1.aliexpress-media.com/kf/Sabb4a250a366493e9cc2eb0ffcc501bdF.jpg
30,tools,handles,Geeboon,T245,,$18-40,1.1,OK,https://s.click.aliexpress.com/e/_c3xiJVnV,https://ae01.alicdn.com/kf/Sa98cffb748044c0896d525cfa2b31a85x.jpg
31,tools,handles,Geeboon,T115,,$15-35,1.5,OK,https://s.click.aliexpress.com/e/_c3xiJVnV,https://ae-pic-a1.aliexpress-media.com/kf/Seeecd2ee8cdb42a0bb31c54412af41e27.jpg
