id,brand,model,sub_category,status,http_code,detail,link
26,Switch Pro,Joystick,tips,ok,200,https://www.aliexpress.com/item/1005011666282296.html?aff_fcid=7823253021ce45189c3c45f7b59d69f7-1786926669188-01983-_c3IxbJP9&tt=CPS_NORMAL&aff_fsk=_c3IxbJP9&aff_platform=shareComponent-detail&sk=_c3IxbJP9&aff_trace_key=7823253021ce45189c3c45f7b59d69f7-1786926669188-01983-_c3IxbJP9&terminal_id=0e4b5f367c6d4773a69e25ea2454303b&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3IxbJP9
27,XBOX,Joystick,tips,ok,200,https://www.aliexpress.com/item/1005011666282296.html?aff_fcid=97dbc15c766142b684cf8a19ea71cc28-1786926669202-07940-_c3IxbJP9&tt=CPS_NORMAL&aff_fsk=_c3IxbJP9&aff_platform=shareComponent-detail&sk=_c3IxbJP9&aff_trace_key=97dbc15c766142b684cf8a19ea71cc28-1786926669202-07940-_c3IxbJP9&terminal_id=9d331af01869418a8db05140b90bfa4d&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3IxbJP9
28,XBOX,Joystick,tips,ok,200,https://www.aliexpress.com/item/1005011666282296.html?aff_fcid=2a0395ae5d734eb48ae349919a49f50f-1786926669219-03405-_c3IxbJP9&tt=CPS_NORMAL&aff_fsk=_c3IxbJP9&aff_platform=shareComponent-detail&sk=_c3IxbJP9&aff_trace_key=2a0395ae5d734eb48ae349919a49f50f-1786926669219-03405-_c3IxbJP9&terminal_id=cf3a99273978454dbc01dad01b8ceb46&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3IxbJP9
29,XBOX,Joystick,tips,ok,200,https://www.aliexpress.com/item/1005011666282296.html?aff_fcid=facce4adc0d6451ab1476b35e44d2f6e-1786926669223-05794-_c3IxbJP9&tt=CPS_NORMAL&aff_fsk=_c3IxbJP9&aff_platform=shareComponent-detail&sk=_c3IxbJP9&aff_trace_key=facce4adc0d6451ab1476b35e44d2f6e-1786926669223-05794-_c3IxbJP9&terminal_id=5887fbb633d74703befa52724b5c52c2&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3IxbJP9
30,Geeboon,T245,handles,ok,200,https://www.aliexpress.com/item/1005007192611695.html?aff_fcid=dc48550321eb438e8e3e69f8d6bc09e9-1786926669266-00266-_c3xiJVnV&tt=CPS_NORMAL&aff_fsk=_c3xiJVnV&aff_platform=shareComponent-detail&sk=_c3xiJVnV&aff_trace_key=dc48550321eb438e8e3e69f8d6bc09e9-1786926669266-00266-_c3xiJVnV&terminal_id=79a96bf06b0342bcabfdb39ae52761c1&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3xiJVnV
31,Geeboon,T115,handles,ok,200,https://www.aliexpress.com/item/1005007192611695.html?aff_fcid=987f6b85f9aa4e92be4878aae3e68887-1786926669404-03718-_c3xiJVnV&tt=CPS_NORMAL&aff_fsk=_c3xiJVnV&aff_platform=shareComponent-detail&sk=_c3xiJVnV&aff_trace_key=987f6b85f9aa4e92be4878aae3e68887-1786926669404-03718-_c3xiJVnV&terminal_id=8b343074cb174e31b90481727104b13d&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3xiJVnV
32,Geeboon,T12,handles,ok,200,https://www.aliexpress.com/item/1005007192611695.html?aff_fcid=c86cbc293e634cd093d093fa8fdc97d1-1786926669426-03322-_c3xiJVnV&tt=CPS_NORMAL&aff_fsk=_c3xiJVnV&aff_platform=shareComponent-detail&sk=_c3xiJVnV&aff_trace_key=c86cbc293e634cd093d093fa8fdc97d1-1786926669426-03322-_c3xiJVnV&terminal_id=248b5c75de024a6fa2f9dafba59cc2d9&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3xiJVnV
33,Geeboon,T210,handles,ok,200,https://www.aliexpress.com/item/1005007192611695.html?aff_fcid=4d747980508541ba9e335144142b5bdb-1786926669435-07697-_c3xiJVnV&tt=CPS_NORMAL&aff_fsk=_c3xiJVnV&aff_platform=shareComponent-detail&sk=_c3xiJVnV&aff_trace_key=4d747980508541ba9e335144142b5bdb-1786926669435-07697-_c3xiJVnV&terminal_id=246c208ec10c462e9eb8c9d8a4150249&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3xiJVnV
34,SUGON,A9,station,ok,200,https://pt.aliexpress.com/item/1005012417353696.html?aff_fcid=4eee0875dcce46bfb2547455ff25e1fd-1786926669446-01153-_c2zOYJHh&tt=CPS_NORMAL&aff_fsk=_c2zOYJHh&aff_platform=shareComponent-detail&sk=_c2zOYJHh&aff_trace_key=4eee0875dcce46bfb2547455ff25e1fd-1786926669446-01153-_c2zOYJHh&terminal_id=eacb2110ca2f4064978ff535c0c23a92&afSmartRedirect=y&gatewayAdapt=glo2bra,https://s.click.aliexpress.com/e/_c2zOYJHh
35,SUGON,T245,handles,ok,200,https://www.aliexpress.com/item/1005003717752698.html?aff_fcid=9196d34c65144dc0bb4aa4c3ef966cae-1786926669454-08020-_c4PPTVKF&tt=CPS_NORMAL&aff_fsk=_c4PPTVKF&aff_platform=shareComponent-detail&sk=_c4PPTVKF&aff_trace_key=9196d34c65144dc0bb4aa4c3ef966cae-1786926669454-08020-_c4PPTVKF&terminal_id=1c7a7ce6d0734001a40fb6ad954903f5&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c4PPTVKF
