id,brand,model,sub_category,link,image
127,2UUL,SC14,flux,https://s.click.aliexpress.com/e/_c4CDf1tZ,images/products/127.jpg
128,GINFULL,RS13,PS5,https://s.click.aliexpress.com/e/_c3hP6BGP,images/products/128.jpg
129,K-SILVER,JS13 PRO+,PS4,https://s.click.aliexpress.com/e/_c3CNcqlV,images/products/129.jpg
130,K-SILVER,JS13 PRO+,PS5,https://s.click.aliexpress.com/e/_c3CNcqlV,images/products/130.jpg
131,K-SILVER,JS13 PRO+,XBOX,https://s.click.aliexpress.com/e/_c3CNcqlV,images/products/131.jpg
132,K-SILVER,JS13 PRO+,Switch pro,https://s.click.aliexpress.com/e/_c3CNcqlV,images/products/132.jpg
133,TMR,,PS4,https://s.click.aliexpress.com/e/_c40qWskx,images/products/133.jpg
134,TMR,,PS5,https://s.click.aliexpress.com/e/_c40qWskx,images/products/134.jpg
135,TMR,,XBOX,https://s.click.aliexpress.com/e/_c40qWskx,images/products/135.jpg
136,GuliKit,,Switch pro,https://s.click.aliexpress.com/e/_c3fQfTGB,images/products/136.jpg
137,GuliKit,,PS4,https://s.click.aliexpress.com/e/_c3fQfTGB,images/products/137.jpg
138,GuliKit,,PS5,https://s.click.aliexpress.com/e/_c3fQfTGB,images/products/138.jpg
139,GuliKit,,XBOX,https://s.click.aliexpress.com/e/_c3fQfTGB,images/products/139.jpg
140,,,PS5,https://s.click.aliexpress.com/e/_c2v4Hv1t,images/products/140.jpg
141,,,PS4,https://s.click.aliexpress.com/e/_c4Kog6HH,images/products/141.jpg
142,,,PS4,https://s.click.aliexpress.com/e/_c3WMIZ8J,images/products/142.jpg
143,,,PS5,https://s.click.aliexpress.com/e/_c3JJZEob,images/products/143.jpg
144,,,XBOX,https://s.click.aliexpress.com/e/_c4EkicIR,images/products/144.jpg
145,,,XBOX,https://s.click.aliexpress.com/e/_c3uD2tuP,images/products/145.jpg
146,Picofly,,Switch,https://s.click.aliexpress.com/e/_c4mgPpUn,images/products/146.jpg
147,Picofly,RP2040,Switch,https://s.click.aliexpress.com/e/_c3QWc0X1,images/products/147.jpg
148,,,Switch,https://s.click.aliexpress.com/e/_c3LQAS0x,images/products/148.jpg
149,MECHANIC,HBD-366,solder,https://s.click.aliexpress.com/e/_c3BhoXKx,images/products/149.jpg
150,MECHANIC,XGZ40,solder,https://s.click.aliexpress.com/e/_c3emRYoF,images/products/150.jpg
151,EMA,,solder,https://s.click.aliexpress.com/e/_c40kA8EX,images/products/151.jpg
152,RELIFE,RL-440,solder,https://s.click.aliexpress.com/e/_c4PK7W99,images/products/152.jpg
153,BAKU,,solder,https://s.click.aliexpress.com/e/_c40VhkcT,images/products/153.jpg
154,GEEBOON,c470,tips,https://s.click.aliexpress.com/e/_c3QPRaOF,images/products/154.jpg
155,OSS,c470,tips,https://s.click.aliexpress.com/e/_c3MeiCMr,images/products/155.jpg
156,YUTO,c470,tips,https://s.click.aliexpress.com/e/_c3FSmSWb,images/products/156.jpg
157,Qianli,h240,station,https://s.click.aliexpress.com/e/_c3JTNDZH,images/products/157.jpg
158,Qianli,h400,station,https://s.click.aliexpress.com/e/_c353VpAP,images/products/158.jpg
159,Qianli,T245,handles,https://s.click.aliexpress.com/e/_c3BHPomj,images/products/159.jpg
160,Qianli,T210,handles,https://s.click.aliexpress.com/e/_c3BHPomj,images/products/160.jpg
161,Qianli,T470,handles,https://s.click.aliexpress.com/e/_c3BHPomj,images/products/161.jpg
162,Mechanic,HX T100,solder,https://s.click.aliexpress.com/e/_c4r9jpcx,images/products/162.jpg
163,Geeboon,T210,handles,https://s.click.aliexpress.com/e/_c3xiJVnV,images/products/163.jpg
164,FNIRSI,2C23T,multimeter,https://s.click.aliexpress.com/e/_c3ZVIGpt,images/products/164.png
165,NJTY,T21L,multimeter,https://s.click.aliexpress.com/e/_c3Z6lrVN,images/products/165.png
166,UNI-T,UT890C,multimeter,https://s.click.aliexpress.com/e/_c4lEP1BD,images/products/166.jpg
167,ANENG,DM850,multimeter,https://s.click.aliexpress.com/e/_c4rjDJob,images/products/167.jpg
168,Owon,SDS1102,oscilloscope,https://s.click.aliexpress.com/e/_c4NqAIJ9,images/products/168.jpg
169,FNIRSI,1014D,oscilloscope,https://s.click.aliexpress.com/e/_c35ZaRif,images/products/169.jpg
170,HANTEK,DSO2D15,oscilloscope,https://s.click.aliexpress.com/e/_c38ocP8T,images/products/170.jpg
171,RIGOL,DS1102Z-E,oscilloscope,https://s.click.aliexpress.com/e/_c3sendp9,images/products/171.jpg
172,RIGOL,DHO802,oscilloscope,https://s.click.aliexpress.com/e/_c40GmWAL,images/products/172.png
173,ZOYI,DQ01,lcr,https://s.click.aliexpress.com/e/_c3Pegw7H,images/products/173.png
174,FNIRSI,LC1020E,lcr,https://s.click.aliexpress.com/e/_c2woa3rv,images/products/174.jpg
175,FNIRSI,LCR-ST2,lcr,https://s.click.aliexpress.com/e/_c3KUkA8B,images/products/175.jpg
176,VICI,VC480C,milliohm,https://s.click.aliexpress.com/e/_c4W1LLc7,images/products/176.jpg
177,,YMC01 Milliohm Meter,milliohm,https://s.click.aliexpress.com/e/_c4cWpvAB,images/products/177.jpg
178,ETCR,3620,milliohm,https://s.click.aliexpress.com/e/_c44hGubN,images/products/178.jpg
179,FNIRSI,HRM-10,battery_tester,https://s.click.aliexpress.com/e/_c4ll7zQr,images/products/179.png
